sch_stat_no;sch_name;district;subdistrict
1401661;رمز الحنان;1;1
1401662;المجادلة;2;6
1401663;الاقتدار (تعليق);4;12
1401664;تراث النجف الاساسية;1;1
1401665;زهور الغد الأساسية;1;1
1401666;ثمرة العلم;1;1
1401667;الشهيد غالب شنيع;1;1
1401668;سيدة الصبر;1;2
1401669;همسة امل;1;2
1401670;الامير علي ال محمد الحسناوي;1;2
1401671;الشهيد حسن نصر الله للحاسبات وتقنية الملومات;1;1
1401672;اليسر;1;1
1401673;عصر الظهور;1;1
1401674;المناذرة;3;9
1401675;الاولياء الصالحين الأساسية;1;1
1401676;الممهدات المسائية;3;9
1401677;نور الحق;3;9
1401678;النجاة;3;9
1401679;الممهدون;3;10
1401680;الشهيد ثائر الهلالي;1;1
1401681;قطوفها دانية;1;1
1401682;المستنصرية;2;6
1401683;المستنصرية;2;6
1401684;مدينة العلم;1;1
1401685;راية الحسين;1;3
1401686;اميرة الطف;1;2
1401687;شذى الزهور;1;2
1401688;حسن عبدالسعود البديري;2;8
1401689;الروحاء;3;10
1401690;ينبوع الحكمة;2;6
1401691;الدكتور هادي العابدي;1;1
1401692;شجرة التقوى;1;1
1401693;النبأ;1;1
1401694;العباسية للمتفوقين;2;6
1401695;جساب عريبي;1;2
1401696;الارتقاء الاساسية;1;1
1401697;المتفوقين;1;1
1401698;المتفوقات;1;1
1401699;كنوز المعارف;1;1
1401700;منارة المستقبل;1;1
1401701;جنة الفردوس;1;1
1401702;سكينة بنت الحسين;2;7
1401703;البهجة;4;12
1401704;المستقبل;1;1
1401705;السدير;1;1
1401706;السدير;1;1
1401707;الزيتون;1;1
1401708;شهداء العقيدة المسائية;1;1
1401709;زهور السوسن;1;1
1401710;الشيخ الكرباسي;1;1
1401711;النخيل;2;6
1401712;سما الحيدرية;1;2
1401713;سمارت الاساسية;2;6
1401714;جنة الحسين الاساسية;4;11
1401715;حروف;1;1
1401716;العقيق;1;1
1401717;الياقوتة;1;1
1401718;السيدة فضة;1;1
1401719;شمس المغرب الاساسية;1;1
1401720;حكاية;4;11
1401721;ايليا;1;1
1401722;الشيخ علي الغروي;2;6
1401723;جيل الزهراء;2;6
1401724;الشيخ البرجوردي;1;1
1401725;نور;1;1
1401726;نور;1;1
1401727;ارادة الحياة (دمج عكسي);1;1
